id,displayName
UFfBsSdf5NB,Area 23 Market
vqiqDOcTSQk,Area 25 C Market
vKYp0um9xRO,Area 25 Market
QgwDNFWZ2U3,Balaka Market
zSFHSmGgh0o,Balaka Market
vJ3ltwDpCll,Bangula Market
xez5uJ0eXD5,Bangwe Market
J36u8PDxjBR,Bembeke Turn off Market
eQc3cwoL4e1,Blantrye Market
xeIRv2DVbHU,Bolero Market
IYqT458iZD1,Bowe Market
amyUnTe6z4v,Bvumbwe Market
ikqlNVmG298,Chamama Market
HQHNn8zNpjo,Chapananga Market
N446U2jWCmV,Chatoloma Market
IbKhZikvdbV,Chazunda Market
lWwFVOf7M89,Chezi Market
wasNeYsEitu,Chibavi Market
TXS6QIcgQCi,Chiendausiku Market
y22uOL0DKlV,Chifunga Market
YinNZVLNfSK,Chigwirizano Market
PC3ZFNxujcv,Chikuli Market
O5K2gUKtNHY,Chikwawa Market
myaoyPW4cFw,Chikwina Market
jnBklvQhYXz,Chileka Market
bITLV4CbGim,Chilinde Market
O4rrJen5HXn,Chilipa Market
roKnY1zlnin,Chilumba Market
cvw03Z0bCYi,Chiluzi Market
L6dwSSlsnai,Chimbiya Market
ZuCtkOLSqqe,Chimoka Market
a6C8Ykis6ol,Chimwaza Market
RWJfKmyLvl1,Chinakanaka Market
sbS2sIWuXL5,Chinakanaka Market
r1vfbHi6DWQ,Chingale Market
kVOebjBfVap,Chinkhoma Market
b5LaulEftzR,Chinsapo Market
RA8u68VJgln,Chintheche Market
EOPUbs5NZDb,Chioshya Market
DWOvP7eHMux,Chipoka Market
RzMCuYZ3Ree,Chiringa Market
UjGzjn4gaRP,Chitakale Market
FJio8OudjWr,Chitakale Market
uw3vEVDvYv4,Chitala Market
aKPpdsWmM2J,Chitimba Market
OXrFWMCjQD9,Chitipa District Council Market
e4gKvwYJWkJ,Chizumulu Market
Gwff671SzDN,Chonde Market
L8CfBU4SUYy,Chonde Market
M084Dev6nTr,Dedza Boma Market
qRHILbKoT0B,Doviko Market
Pkvy1royb7H,Dowa Market
Ds5PGQhihYq,Dowa Turn-Off Market
q0JFLxT0YcD,Dwambazi Market
jqdHKC9oJe6,Dwangwa Market
wYNsWj0cSDW,Dzaone Market
hVWMaEQkLsD,Dzoole Market
zhUFVaq0fsJ,Edingeni Market
SMzCxHLEbH7,Ekwendeni Market
yH3rtLf6PzX,Embangweni Market
kNaWeQScFWJ,Enukweni Market
Zy92FuEM2ku,Euthini Market
lKYGsPdGLNa,Fatima Market
saLYwdJci4a,Golomoti Market
nN8nXevZCXC,Govala Market
K6SOhdpsjlP,Hewe Market
k87UrUj7Fn0,Ifumbo Market
SmFbaEvF0td,Jali Market
C3RoODpOTz5,Jenda Market
qvSkEE4oUc5,Kabwazi Market
mYig2VYEfJH,Kachere Market
XHc405ulV29,Kafukule Market
dYLQI9GXynW,Kakoma Market
a7ijcAABBAR,Kambale Market
m9fryoViZne,Kambanizithe Market
MAYrkycrrFd,Kampepuza Market
lqZAYB6xzkY,Kamphata Market
LSToZo1OcTk,Kamuzu Road Market
iO4IJu9qkxt,Kamwendo Market
MJDRlsrWYTd,Kansonga Market
ROBBBr6iC5Q,Kapiri Market
eMsBAAlB1EC,Kapirinkhonde/Nthalire Market
Adr8rf79GWi,Kapoka Market
DjHTVSZPmRg,Karonga Boma Market
vMsBJI6ePKr,Kasiya Market
HfOp2rDi6lp,Kasungu Central Market
DD7L3xEgCGX,Katchale Market
JUNpY4pZysK,Katuli Market
xvNFT6FKBMS,Kauma Market
oskNWGVX7x7,Kawale Market
BonJurLskdk,Khuwi Market
pRCgmadaKxZ,Lifizi Market
PYkEtMbmgWH,Ligowe Market
LHJGEGcai3m,Likoma Market
kHEQprRSziw,Lilangwe Market
bndcSsywFz1,Lilongwe Market
UdALmpGIUNt,Limbe Market
V2jIXtylUar,Linthipe I Market
nzx9L3Exsrd,Lisungwi Market
cGjLcvv7sjy,Livingstonia Market
s4DF0Q7UlkL,Livunzu Market
dpBj68GNpRe,Liwonde Market
BNVCVHvGJ6p,Lizulu Market
FeWv2JuO4Gh,Lobi Market
hMVpTaLTG78,Luchenza Market
dx6oiCiCyan,Lufita Market
UgoWDn0DKaw,Lumbadzi Market
hrXShhV7koc,Lunzu Market
PxZWy7x5a91,Luviri Market
MI85rvXCDke,Luwinga Market
tGY8PR0pOvW,Lwanda Market
O8nHvdzf0wu,Machinga Market
Atj3vWj479J,Madisi Market
Tf8UGjDIeQV,Magomero Market
nVJ9y56WmIN,Malembo Market
Qnh2SQUCWF4,Malingunde Market
JmhF8xqmYAd,Maliro Market
l6CHbqiwSfR,Malomo Market
ydqiAzCLTz2,Mangochi Market
PIiRLiesP6i,Mangochi TO Market
t9AGDbFpqkO,Manyamula Market
LlKf2Gg3KRB,Matindi Market
QMPwHDySGSX,Mayaka Market
JAVUZ4oZfnA,Mayani Market
jVXORi2LkmG,Mbalachanda Market
EymUnkcgcgp,Mbayani Market
mKiMvoMXv4k,Mbenje Market
qqojWfi5dLK,Mbulumbuzi Market
fBVJ1zKRYwQ,Mchinji Boma Market
DqkWcWcgO3c,Mdeka Market
IK6YOFKyVMK,Mhuju Market
FDc9UnLVci3,Migowi Market
kUuCovENLGg,Misuku Market
lNFSzr07uAc,Mitundu Market
LE5Y1Da1Fk4,Mkanda Market
hC9EagnKgrT,Mkuza Market
SFhUU530VS9,Mlomba Market
IL9Ns3N8kYy,Mngwangwa Market
qkarxh7FEu3,Monkey bay Market
QVEglc0nb0H,Mpamba Market
Bbxy91iTIm5,Mpherembe Market
TWrbeYH54H3,Mphompha Market
S6tyyKUgPRP,Mphomwa Market
S4dd6TrNKHR,Mphyupyu Market
oHjYTDltBVJ,Mpingu Market
AcwZJhvCutF,Mponela Market
rHxjzGOSfF9,Msundwe Market
hEYbeetXR5P,Mtakataka Market
FKHN9Z08JJ4,Mtunthama Market
Z71CRES06Pl,Mughengemo Market
ZhRJ808jU1W,Muloza Market
jsylpWLhVMJ,Muloza Market
iOgSupBB0ym,Muthuka Market
aMpXetFJHcv,Mvera Market
wjnsNiDAqxn,Mwansambo Market
ficCoNEmosd,Mwansambo Turn Off Market
MFVpgRi0JNW,Mwanza Boma Market
bCnU9yAnsdv,Mwanza Chipatala Market
z3SYCMgSRrH,Mzimba Boma Market
Vc3aNdkCah7,Mzuzu Market
tl5bqbCtilI,Nakapa Market
qPp3gv8hu7A,Nambazo Market
SIDp2TenaMb,Nambuma Market
VTEh7FckuQB,Namitambo Market
iszVlU7cPg7,Namitete Market
uqeFC29UnVO,Namwera Market
B0mDfFNj7qh,Nanjiri Market
yqiv04PM6TB,Nathenje Market
B6s7wYnVleh,Nchalo Market
B2ofqKoVrqk,Ndirande Market
BjQdB8z5nhG,Neno Market
VGPILte5OCk,Ngabu Market
K5cIPw5dvWv,Ngozi Market
YIlHVq8zfjJ,Ngwenya Market
PsKqXGQSlBn,Nkando Market
vhfnn53DtGW,Nkando Market
L5iJroZMZif,Nkhamenya Market
KB9NDWr9UMo,Nkhatabay Market
CrURRaEeyu6,Nkhoma Market
ZKdxZdrezsD,Nkhotakota Market
rDtypblHQls,Nkhwazi Market
oscWpH8rqv9,Nsalu Market
DOtAmFob3ya,Nsambo Market
CgWH9AHfvUN,Nsanama Market
a9HSfW3QGKn,Nsanje Boma Market
lHgDROE97UJ,Nsungwi Market
mUPqymZf44J,Ntaja Market
Sxfb97yIJEB,Ntchenachena Market
zf73L9pGLFB,Ntcheu Boma Market
vb4Pu3Dg5Qa,Ntchisi Boma Market
KJx8mH5kjiQ,Ntonda Market
UDaAkBXg8Wo,Ntowe Market
T2WBih45Tzf,Pengapenga Market
uvZVQbWEK4F,Phalombe Market
R3v1b7zcBBP,Phalula Market
Q1Bb466PuFH,PIM Market
oQ4hMXaqjoN,Rumphi Market
b4R4kuNodYD,Sadzi Market
hLY95T6VZn7,Salima Market
nDuAlONMXEF,Santhe Market
Qd4m9Bw6YoL,Sengabay Market
ywTJXgC3K05,Sharpevale Market
Ed2vG6WueF1,Siyasiya Market
ft4QPXRYmUa,Songani Market
xOVbnpY1xIK,Songwe Boarder Market
ov865oVDoJy,Soperela Market
dHWEu8O6Ggt,Sorgin Market
PZASqe4nBu5,Tengani Market
uB6Y8TPqlhn,Thambani Market
RxSkZlCrw8j,Thete Market
CoRRwwe6hFG,Thondwe Market
sSjrgBEvT3k,Thyolo Boma Market
xgyr4u8ow8T,Tsangano Turn off Market
FqsxuFmoVUk,Tsoka Lizulu Market
NjwXB75hxAd,Ulongwe Market
MbBnXZpn1su,Wakawaka (Area 36) Market
VlGtXfYIbvR,Waliranji Market
kCrzZDqyuYN,Wiliro Market
YnH0s1HVX4K,Zalewa Market
wB8qOpyZTSt,Zamkutu Market
F8umKm8dxDE,Zomba Market
