id,displayname
aIxnpeXchpH,Sorghum
amBLBaPucQV,Maize Grain
AMtdDx45qzM,Soya Beans
aoRxfdJoMH2,Cassava Root
caYQZKXnQRB,g/nut unshelled
eBtWxX0pCWA,Cattle Steak
eEJqSFPdarL,Rice Polished
fCLkuJatIK2,Steak and Bone
FEfbFrx2kIL,Cassava Dried
GCoOdQpVZQh,Goat
H1guDKaG7kQ,Millet Bulrush
iu1MnDUpE9I,Ground Beans
JONHUjJ2Y9x,Pigeon Peas
lnHYofGqBsY,Pork
MQwoaRW4zFr,Nsawawa
O4vxeOTlbaj,Guar Beans
QQNasgCpGTZ,Mixed Beans
S4OQuKjO9gb,g/nut shelled
Sve2sXofsqw,White Haricot
ul1Xp4zwb3h,Millet Finger
vfGzkAaxKx2,Dolichos Beans
XaDyji0ngWs,Beans General
xh4muSaRU6Y,Cow Peas
Zx30QCVgOET,Chick Peas